,is_trade,l1_name,l2_name,l3_name,stock_code,name,mc,beta
287,1,医药生物,医疗器械,医疗耗材,300981,中红医疗,0.402,0.14866666666666667
288,1,医药生物,医疗器械,医疗耗材,603222,济民医疗,0.3893333333333333,0.23466666666666666
289,1,医药生物,医疗器械,医疗耗材,603987,康德莱,0.37733333333333335,0.24666666666666667
290,1,医药生物,医疗器械,医疗耗材,603309,维力医疗,0.3293333333333333,0.25066666666666665
291,1,医药生物,医疗器械,医疗耗材,300326,凯利泰,0.31133333333333335,0.42
292,1,医药生物,医疗器械,医疗耗材,301093,华兰股份,0.29533333333333334,0.322
293,0,医药生物,医疗器械,医疗耗材,300238,冠昊生物,0.284,0.164
294,0,医药生物,医疗器械,医疗耗材,688108,赛诺医疗,0.258,0.008666666666666666
295,0,医药生物,医疗器械,医疗耗材,301122,采纳股份,0.24,0.308
296,1,医药生物,医疗器械,医疗耗材,300453,三鑫医疗,0.198,0.184
